BillNo,Itemname,Quantity,Date,Price,CustomerID,Country
536365,WHITE HANGING HEART T-LIGHT HOLDER,6,12/1/10 8:26,2.55,17850,United Kingdom
536365,WHITE METAL LANTERN,6,12/1/10 8:26,3.39,17850,United Kingdom
536365,CREAM CUPID HEARTS COAT HANGER,8,12/1/10 8:26,2.75,17850,United Kingdom
536365,KNITTED UNION FLAG HOT WATER BOTTLE,6,12/1/10 8:26,3.39,17850,United Kingdom
536365,RED WOOLLY HOTTIE WHITE HEART.,6,12/1/10 8:26,3.39,17850,United Kingdom
536365,SET 7 BABUSHKA NESTING BOXES,2,12/1/10 8:26,7.65,17850,United Kingdom
536365,GLASS STAR FROSTED T-LIGHT HOLDER,6,12/1/10 8:26,4.25,17850,United Kingdom
536366,HAND WARMER UNION JACK,6,12/1/10 8:28,1.85,17850,United Kingdom
536366,HAND WARMER RED POLKA DOT,6,12/1/10 8:28,1.85,17850,United Kingdom
536367,ASSORTED COLOUR BIRD ORNAMENT,32,12/1/10 8:34,1.69,13047,United Kingdom
536367,POPPY'S PLAYHOUSE BEDROOM,6,12/1/10 8:34,2.1,13047,United Kingdom
536367,POPPY'S PLAYHOUSE KITCHEN,6,12/1/10 8:34,2.1,13047,United Kingdom
536367,FELTCRAFT PRINCESS CHARLOTTE DOLL,8,12/1/10 8:34,3.75,13047,United Kingdom
536367,IVORY KNITTED MUG COSY,6,12/1/10 8:34,1.65,13047,United Kingdom
536367,BOX OF 6 ASSORTED COLOUR TEASPOONS,6,12/1/10 8:34,4.25,13047,United Kingdom
536367,BOX OF VINTAGE JIGSAW BLOCKS,3,12/1/10 8:34,4.95,13047,United Kingdom
536367,BOX OF VINTAGE ALPHABET BLOCKS,2,12/1/10 8:34,9.95,13047,United Kingdom
536367,HOME BUILDING BLOCK WORD,3,12/1/10 8:34,5.95,13047,United Kingdom
536367,LOVE BUILDING BLOCK WORD,3,12/1/10 8:34,5.95,13047,United Kingdom
536367,RECIPE BOX WITH METAL HEART,4,12/1/10 8:34,7.95,13047,United Kingdom
536367,DOORMAT NEW ENGLAND,4,12/1/10 8:34,7.95,13047,United Kingdom
536368,JAM MAKING SET WITH JARS,6,12/1/10 8:34,4.25,13047,United Kingdom
536368,RED COAT RACK PARIS FASHION,3,12/1/10 8:34,4.95,13047,United Kingdom
536368,YELLOW COAT RACK PARIS FASHION,3,12/1/10 8:34,4.95,13047,United Kingdom
536368,BLUE COAT RACK PARIS FASHION,3,12/1/10 8:34,4.95,13047,United Kingdom
536369,BATH BUILDING BLOCK WORD,3,12/1/10 8:35,5.95,13047,United Kingdom
536370,ALARM CLOCK BAKELIKE PINK,24,12/1/10 8:45,3.75,12583,France
536370,ALARM CLOCK BAKELIKE RED,24,12/1/10 8:45,3.75,12583,France
536370,ALARM CLOCK BAKELIKE GREEN,12,12/1/10 8:45,3.75,12583,France
536370,PANDA AND BUNNIES STICKER SHEET,12,12/1/10 8:45,0.85,12583,France
536370,STARS GIFT TAPE,24,12/1/10 8:45,0.65,12583,France
536370,INFLATABLE POLITICAL GLOBE,48,12/1/10 8:45,0.85,12583,France
536370,VINTAGE HEADS AND TAILS CARD GAME,24,12/1/10 8:45,1.25,12583,France
536370,SET/2 RED RETROSPOT TEA TOWELS,18,12/1/10 8:45,2.95,12583,France
536370,ROUND SNACK BOXES SET OF4 WOODLAND,24,12/1/10 8:45,2.95,12583,France
536370,SPACEBOY LUNCH BOX,24,12/1/10 8:45,1.95,12583,France
536370,LUNCH BOX I LOVE LONDON,24,12/1/10 8:45,1.95,12583,France
536370,CIRCUS PARADE LUNCH BOX,24,12/1/10 8:45,1.95,12583,France
536370,CHARLOTTE BAG DOLLY GIRL DESIGN,20,12/1/10 8:45,0.85,12583,France
536370,RED TOADSTOOL LED NIGHT LIGHT,24,12/1/10 8:45,1.65,12583,France
536370,SET 2 TEA TOWELS I LOVE LONDON,24,12/1/10 8:45,2.95,12583,France
536370,VINTAGE SEASIDE JIGSAW PUZZLES,12,12/1/10 8:45,3.75,12583,France
536370,MINI JIGSAW CIRCUS PARADE,24,12/1/10 8:45,0.42,12583,France
536370,MINI JIGSAW SPACEBOY,24,12/1/10 8:45,0.42,12583,France
536370,MINI PAINT SET VINTAGE,36,12/1/10 8:45,0.65,12583,France
536370,POSTAGE,3,12/1/10 8:45,18,12583,France
536371,PAPER CHAIN KIT 50'S CHRISTMAS,80,12/1/10 9:00,2.55,13748,United Kingdom
536372,HAND WARMER RED POLKA DOT,6,12/1/10 9:01,1.85,17850,United Kingdom
536372,HAND WARMER UNION JACK,6,12/1/10 9:01,1.85,17850,United Kingdom
536373,WHITE HANGING HEART T-LIGHT HOLDER,6,12/1/10 9:02,2.55,17850,United Kingdom
536373,WHITE METAL LANTERN,6,12/1/10 9:02,3.39,17850,United Kingdom
536373,CREAM CUPID HEARTS COAT HANGER,8,12/1/10 9:02,2.75,17850,United Kingdom
536373,EDWARDIAN PARASOL RED,6,12/1/10 9:02,4.95,17850,United Kingdom
536373,RETRO COFFEE MUGS ASSORTED,6,12/1/10 9:02,1.06,17850,United Kingdom
536373,SAVE THE PLANET MUG,6,12/1/10 9:02,1.06,17850,United Kingdom
536373,VINTAGE BILLBOARD DRINK ME MUG,6,12/1/10 9:02,1.06,17850,United Kingdom
536373,VINTAGE BILLBOARD LOVE/HATE MUG,6,12/1/10 9:02,1.06,17850,United Kingdom
536373,WOOD 2 DRAWER CABINET WHITE FINISH,2,12/1/10 9:02,4.95,17850,United Kingdom
536373,WOOD S/3 CABINET ANT WHITE FINISH,4,12/1/10 9:02,6.95,17850,United Kingdom
536373,WOODEN PICTURE FRAME WHITE FINISH,6,12/1/10 9:02,2.1,17850,United Kingdom
536373,WOODEN FRAME ANTIQUE WHITE,6,12/1/10 9:02,2.55,17850,United Kingdom
536373,KNITTED UNION FLAG HOT WATER BOTTLE,6,12/1/10 9:02,3.39,17850,United Kingdom
536373,RED WOOLLY HOTTIE WHITE HEART.,6,12/1/10 9:02,3.39,17850,United Kingdom
536373,SET 7 BABUSHKA NESTING BOXES,2,12/1/10 9:02,7.65,17850,United Kingdom
536373,GLASS STAR FROSTED T-LIGHT HOLDER,6,12/1/10 9:02,4.25,17850,United Kingdom
536374,VICTORIAN SEWING BOX LARGE,32,12/1/10 9:09,10.95,15100,United Kingdom
536375,WHITE HANGING HEART T-LIGHT HOLDER,6,12/1/10 9:32,2.55,17850,United Kingdom
536375,WHITE METAL LANTERN,6,12/1/10 9:32,3.39,17850,United Kingdom
536375,CREAM CUPID HEARTS COAT HANGER,8,12/1/10 9:32,2.75,17850,United Kingdom
536375,EDWARDIAN PARASOL RED,6,12/1/10 9:32,4.95,17850,United Kingdom
536375,RETRO COFFEE MUGS ASSORTED,6,12/1/10 9:32,1.06,17850,United Kingdom
536375,SAVE THE PLANET MUG,6,12/1/10 9:32,1.06,17850,United Kingdom
536375,VINTAGE BILLBOARD DRINK ME MUG,6,12/1/10 9:32,1.06,17850,United Kingdom
536375,VINTAGE BILLBOARD LOVE/HATE MUG,6,12/1/10 9:32,1.06,17850,United Kingdom
536375,WOOD 2 DRAWER CABINET WHITE FINISH,2,12/1/10 9:32,4.95,17850,United Kingdom
536375,WOOD S/3 CABINET ANT WHITE FINISH,4,12/1/10 9:32,6.95,17850,United Kingdom
536375,WOODEN PICTURE FRAME WHITE FINISH,6,12/1/10 9:32,2.1,17850,United Kingdom
536375,WOODEN FRAME ANTIQUE WHITE,6,12/1/10 9:32,2.55,17850,United Kingdom
536375,KNITTED UNION FLAG HOT WATER BOTTLE,6,12/1/10 9:32,3.39,17850,United Kingdom
536375,RED WOOLLY HOTTIE WHITE HEART.,6,12/1/10 9:32,3.39,17850,United Kingdom
536375,SET 7 BABUSHKA NESTING BOXES,2,12/1/10 9:32,7.65,17850,United Kingdom
536375,GLASS STAR FROSTED T-LIGHT HOLDER,6,12/1/10 9:32,4.25,17850,United Kingdom
536376,HOT WATER BOTTLE TEA AND SYMPATHY,48,12/1/10 9:32,3.45,15291,United Kingdom
